date,amount
2018-01-01,176649.0
2018-01-02,19834296.0
2018-01-02,385098.0
2018-01-04,186984.0
2018-01-05,411015.0
2018-01-06,293355.0
2018-01-08,715500.0
2018-01-08,244542.0
2018-01-09,169971.0
2018-01-10,1422414.0
2018-01-11,554433.0
2018-01-11,692286.0
2018-01-13,523269.0
2018-01-13,620895.0
2018-01-15,702621.0
2018-01-15,1019349.0
2018-01-16,556500.0
2018-01-16,954000.0
2018-01-20,798339.0
2018-01-22,8824341.0
2018-01-22,276342.0
2018-01-23,4925979.0
2018-01-24,47700.0
2018-01-25,1112841.0
2018-01-29,483678.0
2018-01-29,397500.0
2018-01-29,280158.0
2018-02-01,441861.0
2018-02-01,176649.0
2018-02-02,19834296.0
2018-02-03,906618.0
2018-02-04,186984.0
2018-02-07,2450667.0
2018-02-07,1033500.0
2018-02-09,477000.0
2018-02-09,169971.0
2018-02-10,169494.0
2018-02-11,1698120.0
2018-02-12,579873.0
2018-02-12,1423368.0
2018-02-14,222600.0
2018-02-15,159000.0
2018-02-15,954000.0
2018-02-16,127200.0
2018-02-16,556500.0
2018-02-20,571605.0
2018-02-20,373809.0
2018-02-21,31800.0
2018-02-22,63600.0
2018-02-26,12169383.0
2018-02-26,1192341.0
2018-02-26,1359768.0
2018-02-26,512139.0
2018-02-27,2482149.0
2018-03-01,509913.0
2018-03-01,208767.0
2018-03-02,19834296.0
2018-03-03,377466.0
2018-03-04,169971.0
2018-03-04,186984.0
2018-03-04,671616.0
2018-03-05,47700.0
2018-03-05,12109281.0
2018-03-07,55650.0
2018-03-08,554910.0
2018-03-08,826800.0
2018-03-09,329448.0
2018-03-09,80931.0
2018-03-09,169971.0
2018-03-12,307665.0
2018-03-12,1423368.0
2018-03-13,727425.0
2018-03-14,357750.0
2018-03-14,134991.0
2018-03-15,55650.0
2018-03-15,954000.0
2018-03-17,310050.0
2018-03-17,371106.0
2018-03-19,580032.0
2018-03-19,556500.0
2018-03-20,238023.0
2018-03-22,485745.0
2018-03-23,8902569.0
2018-03-23,186984.0
2018-03-26,1192341.0
2018-03-28,255354.0
2018-03-28,397182.0
2018-03-29,280476.0
2018-03-30,144531.0
2018-03-31,609288.0
2018-03-31,393366.0
2018-03-31,654444.0
2018-04-01,1284561.0
2018-04-01,945732.0
2018-04-01,208767.0
2018-04-02,12992526.0
2018-04-02,1309524.0
2018-04-02,220851.0
2018-04-02,19834296.0
2018-04-03,101919.0
2018-04-04,5772972.0
2018-04-04,186984.0
2018-04-06,72822.0
2018-04-06,155184.0
2018-04-08,349800.0
2018-04-09,103032.0
2018-04-09,169971.0
2018-04-09,477000.0
2018-04-11,1423368.0
2018-04-12,111300.0
2018-04-12,477000.0
2018-04-13,603882.0
2018-04-13,169494.0
2018-04-14,184599.0
2018-04-14,651900.0
2018-04-16,1192500.0
2018-04-16,556500.0
2018-04-18,954000.0
2018-04-20,385098.0
2018-04-21,68688.0
2018-04-21,558885.0
2018-04-22,338988.0
2018-04-23,678930.0
2018-04-24,3572730.0
2018-04-24,657306.0
2018-04-25,3351561.0
2018-04-25,1192341.0
2018-04-26,19349346.0
2018-04-27,12238548.0
2018-04-28,365382.0
2018-04-29,620100.0
2018-04-29,811695.0
2018-04-29,1088673.0
2018-04-30,80931.0
2018-05-01,208767.0
2018-05-02,19834296.0
2018-05-03,790548.0
2018-05-04,671457.0
2018-05-04,186984.0
2018-05-05,115593.0
2018-05-05,326268.0
2018-05-06,355683.0
2018-05-06,1871271.0
2018-05-09,9562260.0
2018-05-09,169971.0
2018-05-09,477000.0
2018-05-10,1767762.0
2018-05-11,911388.0
2018-05-11,127200000.0
2018-05-12,441543.0
2018-05-12,529470.0
2018-05-12,1240200.0
2018-05-14,1075317.0
2018-05-15,954000.0
2018-05-17,461100.0
2018-05-17,556500.0
2018-05-18,1192500.0
2018-05-18,101919.0
2018-05-19,492900.0
2018-05-19,369834.0
2018-05-21,414036.0
2018-05-21,516750.0
2018-05-22,4500813.0
2018-05-24,627096.0
2018-05-25,1192341.0
2018-05-28,152958.0
2018-05-28,1447377.0
2018-05-29,318000.0
2018-05-29,99375.0
2018-06-01,614217.0
2018-06-01,97149.0
2018-06-01,208767.0
2018-06-03,1046379.0
2018-06-04,3739362.0
2018-06-04,383508.0
2018-06-04,19834296.0
2018-06-04,186984.0
2018-06-06,63600.0
2018-06-08,477000.0
2018-06-09,257262.0
2018-06-09,152004.0
2018-06-09,169971.0
2018-06-10,731559.0
2018-06-12,199545.0
2018-06-12,1422414.0
2018-06-14,4506696.0
2018-06-14,111618.0
2018-06-15,954000.0
2018-06-16,47700.0
2018-06-16,360294.0
2018-06-16,221010.0
2018-06-18,556500.0
2018-06-19,612468.0
2018-06-19,42771.0
2018-06-20,1192500.0
2018-06-20,477000.0
2018-06-21,1422255.0
2018-06-23,135150.0
2018-06-23,1192023.0
2018-06-25,14989884.0
2018-06-25,1192341.0
2018-06-26,152958.0
2018-06-27,55650.0
2018-06-27,360294.0
2018-06-28,120363.0
2018-07-01,208767.0
2018-07-02,19834296.0
2018-07-02,397500.0
2018-07-02,579396.0
2018-07-04,548232.0
2018-07-04,186984.0
2018-07-05,703575.0
2018-07-05,3375888.0
2018-07-06,101919.0
2018-07-09,4131933.0
2018-07-09,169971.0
2018-07-10,3850344.0
2018-07-10,85701.0
2018-07-10,477000.0
2018-07-11,1422414.0
2018-07-14,532809.0
2018-07-15,576216.0
2018-07-17,242157.0
2018-07-17,556500.0
2018-07-17,954000.0
2018-07-18,453786.0
2018-07-18,1192500.0
2018-07-20,1635792.0
2018-07-21,459987.0
2018-07-21,477000.0
2018-07-23,976737.0
2018-07-23,152322.0
2018-07-24,422781.0
2018-07-25,1192341.0
2018-07-26,535353.0
2018-07-28,120999.0
2018-07-30,546642.0
2018-07-31,104940.0
2018-08-01,208767.0
2018-08-02,642996.0
2018-08-02,19834296.0
2018-08-03,99693.0
2018-08-04,186984.0
2018-08-06,1215873.0
2018-08-09,169971.0
2018-08-09,477000.0
2018-08-10,1421460.0
2018-08-11,217353.0
2018-08-11,535194.0
2018-08-15,653013.0
2018-08-15,89676.0
2018-08-15,954000.0
2018-08-16,4286004.0
2018-08-16,556500.0
2018-08-17,238182.0
2018-08-18,373173.0
2018-08-20,1192500.0
2018-08-21,1586184.0
2018-08-22,543462.0
2018-08-24,672729.0
2018-08-27,1192341.0
