date,amount
2018-01-03,36459197.85
2018-01-12,31730000.0
2018-01-19,31730000.0
2018-01-22,8804916.35
2018-01-22,4915135.65
2018-02-02,31730000.0
2018-02-05,2302646.0999999996
2018-02-06,2445272.4499999997
2018-02-16,31730000.0
2018-02-26,12142595.05
2018-02-26,2476685.1500000004
2018-03-02,31730000.0
2018-03-05,12082625.35
2018-03-16,31730000.0
2018-03-23,8882972.15
2018-03-30,31730000.0
2018-04-02,12963926.1
2018-04-04,5760264.2
2018-04-13,31730000.0
2018-04-26,12211607.8
2018-04-26,19306753.1
2018-04-27,31730000.0
2018-05-09,9541211.0
2018-05-11,31730000.0
2018-05-19,3285324.2
2018-05-21,4490905.55
2018-05-25,31730000.0
2018-06-02,3731130.7
2018-06-02,7398801.4
2018-06-08,31730000.0
2018-06-14,4496775.6
2018-06-20,1419124.25
2018-06-22,31730000.0
2018-06-25,14956887.4
2018-07-06,31730000.0
2018-07-08,4122837.5500000003
2018-07-09,3841868.4
2018-07-20,974586.95
2018-07-20,1632191.2
2018-07-20,31730000.0
2018-08-02,12950123.549999999
2018-08-03,31730000.0
2018-08-15,4276569.4
2018-08-15,2528563.6999999997
2018-08-17,31730000.0
2018-08-21,542265.7
2018-08-21,1582692.4000000001
2018-08-31,31730000.0
2018-09-04,10903855.85
2018-09-14,2131304.1
2018-09-14,31730000.0
2018-09-28,2032623.8
2018-09-28,4520890.399999999
2018-09-28,31730000.0
2018-10-02,1967735.95
2018-10-12,31730000.0
2018-10-21,8636430.05
2018-10-22,5613512.95
2018-10-26,31730000.0
2018-11-02,4164721.15
2018-11-09,31730000.0
2018-11-20,6694395.399999999
2018-11-23,31730000.0
2018-11-29,9249136.35
2018-11-29,11922547.5
2018-12-07,31730000.0
2018-12-18,4934332.3
2018-12-20,7361835.949999999
2018-12-21,31730000.0
2018-12-29,13644693.25
2019-01-04,31730000.0
2019-01-09,7796854.25
2019-01-18,31730000.0
2019-01-21,4410311.350000001
2019-02-01,31730000.0
2019-02-15,3291511.55
2019-02-15,31730000.0
2019-02-20,4641147.100000001
2019-03-01,31730000.0
2019-03-13,8453823.9
2019-03-13,4787898.350000001
2019-03-15,31730000.0
2019-03-29,31730000.0
2019-03-31,15192324.0
2019-04-01,9527091.15
2019-04-12,31730000.0
2019-04-18,9587536.8
2019-04-18,7267756.5
2019-04-26,31730000.0
2019-04-27,4267050.399999999
2019-05-10,31730000.0
2019-05-17,9127610.450000001
2019-05-24,12147513.2
2019-05-24,31730000.0
2019-06-03,4139971.75
2019-06-07,31730000.0
2019-06-13,2422902.8
2019-06-20,1597288.2000000002
2019-06-21,31730000.0
2019-07-05,35696250.0
2019-07-06,3491569.2
2019-07-09,8721307.8
2019-07-19,1832724.8
2019-07-19,35696250.0
2019-07-22,4078574.1999999997
2019-08-02,35696250.0
2019-08-05,5541327.199999999
2019-08-05,1866517.25
2019-08-16,35696250.0
2019-08-17,1382952.05
2019-08-30,35696250.0
2019-09-06,22058220.049999997
2019-09-11,5720284.4
2019-09-13,35696250.0
2019-09-16,1436893.0499999998
2019-09-17,2952952.4499999997
2019-09-20,149606.94999999998
2019-09-27,35696250.0
