date,amount
2018-01-01,176260.15
2018-01-02,19790635.6
2018-01-02,384250.3
2018-01-04,186572.4
2018-01-05,410110.25
2018-01-06,292709.25
2018-01-08,713925.0
2018-01-08,244003.7
2018-01-09,169596.85
2018-01-10,1419282.9
2018-01-11,553212.5499999999
2018-01-11,690762.1
2018-01-13,522117.14999999997
2018-01-13,619528.25
2018-01-15,701074.35
2018-01-15,1017105.15
2018-01-16,555275.0
2018-01-16,951900.0
2018-01-20,796581.65
2018-01-22,8804916.35
2018-01-22,275733.7
2018-01-23,4915135.65
2018-01-24,47595.0
2018-01-25,1110391.3499999999
2018-01-29,482613.30000000005
2018-01-29,396625.0
2018-01-29,279541.3
2018-02-01,440888.35
2018-02-01,176260.15
2018-02-02,19790635.6
2018-02-03,904622.3
2018-02-04,186572.4
2018-02-07,2445272.4499999997
2018-02-07,1031225.0
2018-02-09,475950.0
2018-02-09,169596.85
2018-02-10,169120.9
2018-02-11,1694382.0
2018-02-12,578596.5499999999
2018-02-12,1420234.8
2018-02-14,222110.0
2018-02-15,158650.0
2018-02-15,951900.0
2018-02-16,126920.0
2018-02-16,555275.0
2018-02-20,570346.75
2018-02-20,372986.15
2018-02-21,31730.0
2018-02-22,63460.0
2018-02-26,12142595.05
2018-02-26,1189716.3499999999
2018-02-26,1356774.8
2018-02-26,511011.65
2018-02-27,2476685.1500000004
2018-03-01,508790.55
2018-03-01,208307.45
2018-03-02,19790635.6
2018-03-03,376635.1
2018-03-04,169596.85
2018-03-04,186572.4
2018-03-04,670137.6
2018-03-05,47595.0
2018-03-05,12082625.35
2018-03-07,55527.5
2018-03-08,553688.5
2018-03-08,824980.0
2018-03-09,328722.8
2018-03-09,80752.84999999999
2018-03-09,169596.85
2018-03-12,306987.75
2018-03-12,1420234.8
2018-03-13,725823.75
2018-03-14,356962.5
2018-03-14,134693.85
2018-03-15,55527.5
2018-03-15,951900.0
2018-03-17,309367.5
2018-03-17,370289.1
2018-03-19,578755.2
2018-03-19,555275.0
2018-03-20,237499.05000000002
2018-03-22,484675.75
2018-03-23,8882972.15
2018-03-23,186572.4
2018-03-26,1189716.3499999999
2018-03-28,254791.9
2018-03-28,396307.7
2018-03-29,279858.60000000003
2018-03-30,144212.85
2018-03-31,607946.8
2018-03-31,392500.1
2018-03-31,653003.3999999999
2018-04-01,1281733.35
2018-04-01,943650.2
2018-04-01,208307.45
2018-04-02,12963926.1
2018-04-02,1306641.4
2018-04-02,220364.85
2018-04-02,19790635.6
2018-04-03,101694.65000000001
2018-04-04,5760264.2
2018-04-04,186572.4
2018-04-06,72661.7
2018-04-06,154842.4
2018-04-08,349030.0
2018-04-09,102805.20000000001
2018-04-09,169596.85
2018-04-09,475950.0
2018-04-11,1420234.8
2018-04-12,111055.0
2018-04-12,475950.0
2018-04-13,602552.7
2018-04-13,169120.9
2018-04-14,184192.65
2018-04-14,650465.0
2018-04-16,1189875.0
2018-04-16,555275.0
2018-04-18,951900.0
2018-04-20,384250.3
2018-04-21,68536.8
2018-04-21,557654.75
2018-04-22,338241.8
2018-04-23,677435.5
2018-04-24,3564865.5
2018-04-24,655859.1000000001
2018-04-25,3344183.35
2018-04-25,1189716.3499999999
2018-04-26,19306753.1
2018-04-27,12211607.8
2018-04-28,364577.7
2018-04-29,618735.0
2018-04-29,809908.25
2018-04-29,1086276.55
2018-04-30,80752.84999999999
2018-05-01,208307.45
2018-05-02,19790635.6
2018-05-03,788807.7999999999
2018-05-04,669978.95
2018-05-04,186572.4
2018-05-05,115338.54999999999
2018-05-05,325549.8
2018-05-06,354900.05
2018-05-06,1867151.8499999999
2018-05-09,9541211.0
2018-05-09,169596.85
2018-05-09,475950.0
2018-05-10,1763870.7000000002
2018-05-11,909381.8
2018-05-11,126920000.0
